environment_step,gradient_step,total_loss,spr_loss,td_error,num_episodes,episode_reward,episode_length
41941,79880,2.0889244,0.41542596,0.011794569,102,0.0,200
42059,80116,3.2505465,0.64285433,0.036274973,103,0.0,134
42142,80282,2.5763826,0.51206803,0.01604275,104,0.0,111
42189,80376,2.7111635,0.53403693,0.040978756,105,0.0,72
42291,80580,3.354261,0.66649723,0.021774724,106,0.0,126
42538,81074,3.1423786,0.62265295,0.029113915,107,0.0,265
42586,81170,2.251227,0.44190872,0.041683182,108,0.0,69
42672,81342,3.3139062,0.6562021,0.03289564,109,0.0,94
42871,81740,2.053931,0.40221062,0.042877723,110,0.0,218
43397,82792,1.9992671,0.38994336,0.04955047,111,700.0,537
43733,83464,2.2281728,0.43485287,0.053908344,112,100.0,341
44007,84012,2.3971899,0.47143257,0.04002696,113,0.0,292
44149,84296,3.1314578,0.62205803,0.021167697,114,0.0,157
44300,84598,2.7493532,0.54240274,0.037339397,115,0.0,177
44503,85004,2.2423534,0.44252783,0.02971427,116,0.0,227
44770,85538,2.7049108,0.5367218,0.021301698,117,100.0,273
45836,87670,2.87276,0.5711163,0.017178377,118,1700.0,1075
46175,88348,3.4089947,0.67883617,0.014813778,119,100.0,348
47318,90634,3.0133295,0.6005672,0.010493811,120,1900.0,1168
48229,92456,2.4466429,0.4864581,0.01435231,121,700.0,921
49246,94490,3.6092062,0.71982825,0.010064794,122,800.0,1029
50606,97210,2.5998888,0.5188342,0.005717864,123,4400.0,1385
51367,98732,2.6020555,0.5182188,0.010961522,124,1600.0,774
