environment_step,gradient_step,total_loss,spr_loss,td_error,num_episodes,episode_reward,episode_length
10758,17514,2.8087444,0.5602015,0.0077369763,40,2000.0,1355
11972,19942,1.9536933,0.38956887,0.005848909,41,1800.0,1230
12635,21268,1.9207404,0.38241357,0.008672612,42,300.0,689
13251,22500,2.5699654,0.51214415,0.009244866,43,2000.0,622
13889,23776,2.6053448,0.519738,0.0066547613,44,700.0,665
16424,28846,1.9276873,0.38377583,0.008808058,45,3300.0,2549
17392,30782,2.2689734,0.45252997,0.006323461,46,1900.0,990
17994,31986,2.4589143,0.49000394,0.008894588,47,600.0,613
18709,33416,1.6561809,0.3300688,0.0058369157,48,1700.0,743
20137,36272,2.6728253,0.5332247,0.0067021037,49,1900.0,1440
20476,36950,2.8150373,0.5612328,0.008873116,50,100.0,356
20589,37176,1.9381742,0.38582098,0.009069443,51,0.0,124
20706,37410,2.5276525,0.50417745,0.0067653772,52,0.0,127
21131,38260,2.8076138,0.559868,0.008274171,53,100.0,433
21331,38660,2.3794768,0.47389936,0.009980032,54,0.0,215
21477,38952,2.5149887,0.50124115,0.008782841,55,0.0,159
21630,39258,2.789463,0.55640376,0.0074441396,56,0.0,161
21681,39360,2.8770213,0.573611,0.008966124,57,0.0,71
21761,39520,3.4187174,0.68222165,0.0076095425,58,0.0,92
21871,39740,2.495226,0.49651524,0.012649696,59,0.0,125
22082,40162,0.67127466,0.1334347,0.004101176,60,100.0,233
22190,40378,0.048676036,0.006125699,0.018047543,61,0.0,123
22382,40762,0.021282293,0.0007751303,0.017406642,62,0.0,215
22519,41036,0.068115994,0.0010822921,0.06270453,63,0.0,148
22804,41606,0.047507674,0.0009796317,0.042609513,64,0.0,299
23179,42356,0.06896152,0.0014168503,0.061877273,65,100.0,397
23462,42922,0.117274925,0.015308455,0.040732644,66,0.0,293
23852,43702,0.7258902,0.13778096,0.036985464,67,0.0,395
24152,44302,2.694051,0.5263908,0.062097237,68,0.0,321
24650,45298,2.5454845,0.5052816,0.01907661,69,200.0,513
24963,45924,1.836833,0.36083785,0.032643855,70,100.0,324
25315,46628,1.3051543,0.25962433,0.0070325746,71,0.0,379
25661,47320,1.7616501,0.34837222,0.019789062,72,700.0,355
26074,48146,2.1922593,0.436804,0.008239366,73,0.0,423
26471,48940,2.5426056,0.5062165,0.011522887,74,200.0,417
26813,49624,1.7618175,0.35059094,0.008862674,75,400.0,350
27496,50990,2.0446546,0.40740147,0.0076469923,76,900.0,689
28463,52924,3.399469,0.6777571,0.010683392,77,1500.0,988
29689,55376,2.5709345,0.51238716,0.008998742,78,1600.0,1236
30621,57240,1.5512938,0.30944586,0.004064366,79,1800.0,951
31227,58452,2.1495461,0.42852026,0.0069447537,80,2000.0,627
31973,59944,2.7357435,0.5462645,0.0044211345,81,2500.0,751
32901,61800,2.70081,0.53911966,0.00521185,82,1200.0,939
33575,63148,1.6153136,0.32170516,0.0067877984,83,2500.0,697
34602,65202,2.2269297,0.44406748,0.0065918085,84,2800.0,1040
35970,67938,2.0756125,0.4140188,0.005518439,85,3400.0,1383
36582,69162,2.1321206,0.4246471,0.008885187,86,3600.0,631
37720,71438,2.1950126,0.43732554,0.008384806,87,5600.0,1143
38354,72706,2.3459945,0.46777046,0.0071423817,88,1200.0,656
38990,73978,2.603702,0.51898336,0.008785324,89,2100.0,665
39630,75258,2.6657283,0.5312586,0.009435653,90,1900.0,664
40104,76206,3.1906848,0.6348727,0.01632119,91,2000.0,488
40208,76414,3.272972,0.65296644,0.008139762,92,0.0,122
40433,76864,2.7263288,0.54355425,0.008557559,93,0.0,247
40736,77470,1.7431381,0.34732872,0.006494495,94,0.0,320
40988,77974,2.7072082,0.53970075,0.008704726,95,0.0,278
41098,78194,3.265708,0.65063757,0.012520074,96,0.0,117
41200,78398,3.3734019,0.67294836,0.008660006,97,0.0,115
41567,79132,3.7550159,0.7480321,0.014855078,98,0.0,380
41634,79266,2.3664498,0.47129354,0.0099819,99,0.0,79
41786,79570,2.1033678,0.4189387,0.008674134,100,0.0,165
41893,79784,2.8181562,0.56231964,0.006558304,101,0.0,123
42225,80448,1.0731404,0.20927218,0.026779454,102,0.0,352
42283,80564,0.69374526,0.13632905,0.012099951,103,0.0,85
42405,80808,1.2572241,0.24704054,0.022021454,104,0.0,130
42654,81306,1.3262033,0.2572779,0.039813884,105,0.0,265
42828,81654,1.6219733,0.31584433,0.042751573,106,0.0,187
42907,81812,1.810627,0.34603882,0.08043306,107,0.0,101
43082,82162,1.7222909,0.33758765,0.034352504,108,0.0,204
43353,82704,2.4036746,0.4737568,0.0348906,109,0.0,276
43514,83026,2.6576304,0.5259603,0.027829096,110,0.0,170
43811,83620,2.6071305,0.5145194,0.034533598,111,200.0,323
44149,84296,3.4754505,0.68926996,0.029100647,112,100.0,358
44898,85794,2.9423268,0.5843418,0.020617748,113,1200.0,760
45499,86996,3.4133162,0.6800295,0.013168906,114,1000.0,628
45896,87790,3.6305084,0.72075784,0.026718888,115,200.0,404
46268,88534,4.2956905,0.8554702,0.018339984,116,200.0,380
47292,90582,4.2146473,0.84087116,0.010291291,117,2600.0,1032
47907,91812,2.4990025,0.4979091,0.009457044,118,4500.0,632
48607,93212,2.8597412,0.56917083,0.013886928,119,2900.0,720
49559,95116,2.9712563,0.5924202,0.009155019,120,3700.0,971
